entry_time,exit_time,pnl,exit_reason,holding_bars
2025-03-29 01:40:00,2025-03-29 05:05:00,0.003434188473824657,signal_exit_th,41
2025-03-31 16:30:00,2025-03-31 20:30:00,0.009297147210197329,signal_exit_th,48
2025-04-01 12:05:00,2025-04-01 15:20:00,-0.00951948167323767,signal_exit_th,39
2025-04-01 18:40:00,2025-04-01 21:40:00,-0.00263647883135141,signal_exit_th,36
2025-04-02 14:00:00,2025-04-02 19:40:00,-0.007567895332159474,signal_exit_th,68
2025-04-02 20:40:00,2025-04-02 23:40:00,0.031758818292001674,signal_exit_th,36
2025-04-04 08:35:00,2025-04-04 11:35:00,-0.026381282865773483,early_exit,36
2025-04-07 15:45:00,2025-04-07 19:55:00,0.0083151034675775,signal_exit_th,50
2025-04-08 15:10:00,2025-04-08 18:15:00,0.011837121635181134,signal_exit_th,37
2025-04-09 18:50:00,2025-04-09 22:30:00,-0.014498531268228136,signal_exit_th,44
2025-04-10 14:20:00,2025-04-10 17:40:00,0.025124020688145208,signal_exit_th,40
2025-04-11 12:10:00,2025-04-11 16:10:00,-0.003364387561350793,signal_exit_th,48
2025-04-12 14:10:00,2025-04-12 17:10:00,-0.0008148229851801134,early_exit,36
2025-04-13 00:00:00,2025-04-13 03:35:00,-0.002762731523280197,signal_exit_th,43
2025-04-13 21:35:00,2025-04-14 00:35:00,-0.023111281686909096,signal_exit_th,36
2025-04-14 14:40:00,2025-04-14 17:40:00,0.010591184624035398,signal_exit_th,36
2025-04-15 14:05:00,2025-04-15 18:50:00,0.017372975938620954,signal_exit_th,57
2025-04-16 14:00:00,2025-04-16 20:00:00,-0.005302867120402123,time_stop,72
2025-04-17 16:10:00,2025-04-17 19:10:00,0.003911373253587427,early_exit,36
2025-04-19 16:45:00,2025-04-19 19:45:00,-0.00458070955255897,signal_exit_th,36
2025-04-20 21:05:00,2025-04-21 02:40:00,-0.02565992187332699,signal_exit_th,67
2025-04-21 14:35:00,2025-04-21 17:35:00,-0.01475259892397101,early_exit,36
2025-04-21 18:35:00,2025-04-21 21:35:00,-0.0026144121365359835,signal_exit_th,36
2025-04-22 05:15:00,2025-04-22 08:15:00,-0.005054777685469743,signal_exit_th,36
2025-04-22 14:45:00,2025-04-22 17:45:00,0.006460539341912836,early_exit,36
2025-04-24 15:05:00,2025-04-24 19:50:00,-0.002837607668899607,signal_exit_th,57
2025-04-25 01:20:00,2025-04-25 04:20:00,0.004017821913104254,signal_exit_th,36
2025-04-25 12:15:00,2025-04-25 18:15:00,-0.0006058870778880865,time_stop,72
2025-04-27 01:35:00,2025-04-27 04:35:00,0.004184522367734504,signal_exit_th,36
2025-04-27 23:05:00,2025-04-28 02:35:00,0.0028430993677471374,signal_exit_th,42
2025-04-28 10:40:00,2025-04-28 15:45:00,0.016364199270766877,signal_exit_th,61
2025-04-29 18:05:00,2025-04-29 22:20:00,0.010298287349238324,signal_exit_th,51
2025-04-30 13:55:00,2025-04-30 17:40:00,-0.013270189862519105,signal_exit_th,45
2025-05-01 13:35:00,2025-05-01 19:35:00,-0.0047496517164660745,time_stop,72
2025-05-07 02:55:00,2025-05-07 05:55:00,0.0024642138377472815,signal_exit_th,36
2025-05-07 13:45:00,2025-05-07 17:20:00,0.0018747947540423621,signal_exit_th,43
2025-05-08 02:30:00,2025-05-08 06:05:00,-0.002227451250742684,signal_exit_th,43
2025-05-08 15:40:00,2025-05-08 18:55:00,0.0009433212352936124,early_exit,39
2025-05-08 20:20:00,2025-05-09 02:20:00,-0.013334198731356724,time_stop,72
2025-05-09 07:50:00,2025-05-09 10:50:00,-0.004282049269187977,early_exit,36
2025-05-09 12:10:00,2025-05-09 15:10:00,-0.00151499404084861,signal_exit_th,36
2025-05-10 07:05:00,2025-05-10 11:40:00,0.003973391351226513,signal_exit_th,55
2025-05-11 01:35:00,2025-05-11 04:50:00,0.003113654913042006,signal_exit_th,39
2025-05-13 14:35:00,2025-05-13 17:35:00,-0.006486482716033794,signal_exit_th,36
2025-05-13 21:35:00,2025-05-14 00:35:00,0.005258847166046554,signal_exit_th,36
2025-05-14 12:50:00,2025-05-14 18:35:00,0.007433443680948066,signal_exit_th,69
2025-05-16 14:50:00,2025-05-16 19:45:00,-0.0015734320769631963,signal_exit_th,59
2025-05-18 09:55:00,2025-05-18 13:30:00,-0.00107356919057648,signal_exit_th,43
2025-05-18 14:30:00,2025-05-18 17:30:00,0.005578737313397774,early_exit,36
2025-05-18 18:30:00,2025-05-18 21:30:00,0.0030696607740086502,signal_exit_th,36
2025-05-20 03:25:00,2025-05-20 06:25:00,0.005757622626937547,signal_exit_th,36
2025-05-21 08:20:00,2025-05-21 11:20:00,-0.0015678859079700075,signal_exit_th,36
2025-05-22 03:50:00,2025-05-22 06:50:00,0.00921378116159293,signal_exit_th,36
2025-05-23 12:00:00,2025-05-23 17:20:00,-0.010743789481629126,signal_exit_th,64
2025-05-26 00:15:00,2025-05-26 03:20:00,-0.005565534912446904,signal_exit_th,37
2025-05-26 10:55:00,2025-05-26 13:55:00,0.0004369613682737362,signal_exit_th,36
2025-05-27 14:35:00,2025-05-27 20:00:00,-0.004560416604371526,signal_exit_th,65
2025-05-30 16:50:00,2025-05-30 19:50:00,-0.007030361512216903,signal_exit_th,36
2025-05-31 17:00:00,2025-05-31 20:00:00,-0.0024445466038386893,signal_exit_th,36
2025-06-01 18:45:00,2025-06-01 21:45:00,-0.008056422983390835,signal_exit_th,36
2025-06-03 17:05:00,2025-06-03 20:05:00,-0.0006981037302123544,signal_exit_th,36
2025-06-06 15:10:00,2025-06-06 19:55:00,0.009004554480036338,signal_exit_th,57
2025-06-07 07:25:00,2025-06-07 10:25:00,-0.001943981950821714,signal_exit_th,36
2025-06-09 10:20:00,2025-06-09 13:20:00,0.003077289967361476,early_exit,36
2025-06-09 14:20:00,2025-06-09 17:20:00,-0.005934784529079004,signal_exit_th,36
2025-06-09 22:05:00,2025-06-10 03:30:00,0.004058136614435039,signal_exit_th,65
2025-06-11 16:50:00,2025-06-11 19:50:00,0.006950515061854508,signal_exit_th,36
2025-06-12 19:55:00,2025-06-12 22:55:00,0.008410057983608821,signal_exit_th,36
2025-06-16 14:40:00,2025-06-16 18:00:00,0.001309611064281096,early_exit,40
2025-06-18 17:35:00,2025-06-18 20:35:00,-0.004000825027261602,signal_exit_th,36
2025-06-20 12:20:00,2025-06-20 16:35:00,0.018811742579751278,signal_exit_th,51
2025-06-21 12:55:00,2025-06-21 16:05:00,0.002751240996573388,signal_exit_th,38
2025-06-23 14:40:00,2025-06-23 17:40:00,0.005756659416317475,early_exit,36
2025-06-25 14:15:00,2025-06-25 18:50:00,0.001130370971768315,signal_exit_th,55
2025-06-27 08:00:00,2025-06-27 11:00:00,-0.00057304779536443,signal_exit_th,36
2025-06-29 10:05:00,2025-06-29 13:05:00,-0.00011085569408567063,early_exit,36
2025-06-29 14:05:00,2025-06-29 17:05:00,0.0057370324306086976,signal_exit_th,36
2025-06-30 03:05:00,2025-06-30 06:05:00,0.0021007448614992893,signal_exit_th,36
2025-07-03 12:45:00,2025-07-03 16:35:00,-0.005088906459739257,signal_exit_th,46
2025-07-06 16:20:00,2025-07-06 20:00:00,0.0022777984466216213,signal_exit_th,44
2025-07-07 01:10:00,2025-07-07 04:10:00,-0.005154687988573038,signal_exit_th,36
2025-07-08 14:05:00,2025-07-08 17:50:00,-0.0035002942896224065,signal_exit_th,45
2025-07-09 13:10:00,2025-07-09 16:10:00,-0.00518185107909267,early_exit,36
2025-07-09 20:15:00,2025-07-09 23:15:00,0.0016229078594018045,early_exit,36
2025-07-10 00:15:00,2025-07-10 03:15:00,0.0009241003704940287,signal_exit_th,36
2025-07-10 19:15:00,2025-07-10 22:40:00,-0.020778780876430234,signal_exit_th,41
2025-07-11 05:55:00,2025-07-11 08:55:00,0.0008857090810083102,early_exit,36
2025-07-13 16:05:00,2025-07-13 19:25:00,-0.003189763683415808,signal_exit_th,40
2025-07-16 14:10:00,2025-07-16 20:10:00,-0.008350810285848755,time_stop,72
2025-07-18 00:00:00,2025-07-18 03:00:00,-0.005098795871905482,signal_exit_th,36
2025-07-19 15:00:00,2025-07-19 18:00:00,-0.0004421341632687514,signal_exit_th,36
2025-07-20 18:35:00,2025-07-20 21:35:00,0.0017082895662929518,signal_exit_th,36
2025-07-20 23:30:00,2025-07-21 03:10:00,-0.011189633607442476,signal_exit_th,44
2025-07-22 14:20:00,2025-07-22 19:25:00,-0.01165234744960092,signal_exit_th,61
2025-07-23 17:15:00,2025-07-23 20:15:00,-0.008227876197243095,signal_exit_th,36
2025-07-25 04:05:00,2025-07-25 07:05:00,-0.0008822915134910517,early_exit,36
2025-07-27 18:05:00,2025-07-27 22:10:00,-0.0033504180541524186,signal_exit_th,49
2025-07-31 16:20:00,2025-07-31 19:20:00,-0.01091414006634528,early_exit,36
2025-08-01 14:35:00,2025-08-01 19:10:00,0.01705836831570165,signal_exit_th,55
2025-08-03 14:20:00,2025-08-03 17:20:00,-0.0026672531364098115,signal_exit_th,36
2025-08-04 05:55:00,2025-08-04 08:55:00,-0.0013549112056288675,signal_exit_th,36
2025-08-04 16:45:00,2025-08-04 20:10:00,0.005540190702207467,signal_exit_th,41
2025-08-06 18:25:00,2025-08-06 21:25:00,0.0025153634351023973,signal_exit_th,36
2025-08-07 12:05:00,2025-08-07 15:40:00,-0.0037253473642256695,signal_exit_th,43
2025-08-10 03:20:00,2025-08-10 06:20:00,-0.0031924347274029175,early_exit,36
2025-08-11 02:15:00,2025-08-11 05:15:00,0.007638872096737979,early_exit,36
2025-08-12 16:35:00,2025-08-12 19:35:00,-0.002279848520782982,signal_exit_th,36
2025-08-13 13:50:00,2025-08-13 19:50:00,-0.0060752679004176064,time_stop,72
2025-08-18 18:00:00,2025-08-18 22:15:00,-0.004486461604586361,signal_exit_th,51
