trade_id,entry_ts,exit_ts,side,entry_price,exit_price,holding_bars,p_long,margin,entropy,p_diff,guard_scale,stage2_cap,final_scale,cap_reason,realized_profit,scaled_profit
27,2021-01-05 16:35:00,2021-01-05 17:35:00,LONG,32460.76,32421.21,12,0.36927491426467896,0.13072508573532104,0.6585686206817627,0.00012806057929992676,0.13034510612487793,0.8,0.10427608340978622,mid_entropy(0.6586)_small_pdiff(0.0001),-0.0030145844665195264,-0.0003143490757793188
28,2021-01-06 02:45:00,2021-01-06 03:45:00,LONG,34062.31,33955.62,12,0.3636871874332428,0.1363128125667572,0.6555101871490479,0.00048786401748657227,0.1355971097946167,0.8,0.10847768932580948,mid_entropy(0.6555)_small_pdiff(0.0005),-0.00492494952216616,-0.0005342471413314342
29,2021-01-06 08:30:00,2021-01-06 09:30:00,LONG,34383.39,33989.61,12,0.40799614787101746,0.09200385212898254,0.6761208772659302,0.0007781982421875,0.096591517329216,0.6,0.05795491114258766,high_entropy(0.6761)_tiny_pdiff(0.0008),-0.013230408180929498,-0.0007667671306990087
30,2021-01-07 07:55:00,2021-01-07 08:55:00,LONG,36859.85,37217.55,12,0.33453458547592163,0.16546541452407837,0.6373435854911804,0.0008735954761505127,0.16702108085155487,1.0,0.16702108085155487,no_cap,0.007888492444125787,0.0013175444910302758
31,2021-01-07 09:55:00,2021-01-07 10:55:00,LONG,37492.69,37045.45,12,0.3442496061325073,0.15575039386749268,0.6438140273094177,0.02714654803276062,0.15626929700374603,1.0,0.15626929700374603,no_cap,-0.013705654364482796,-0.0021417730022221804
32,2021-01-07 21:00:00,2021-01-07 22:00:00,LONG,39187.99,39485.6,12,0.45816513895988464,0.041834861040115356,0.6896427869796753,0.017104536294937134,0.050746772438287735,1.0,0.050746772438287735,no_cap,0.005782379477838999,0.00029343710048124194
33,2021-01-08 01:45:00,2021-01-08 02:45:00,LONG,38503.69,37385.76,12,0.3773179054260254,0.12268209457397461,0.6627358198165894,0.002170383930206299,0.12167878448963165,0.8,0.09734302759170532,mid_entropy(0.6627)_small_pdiff(0.0022),-0.03078052668531832,-0.00299626961350441
34,2021-01-08 03:45:00,2021-01-08 04:45:00,LONG,38335.97,38717.7,12,0.41914331912994385,0.08085668087005615,0.6800140142440796,0.012123435735702515,0.08483801782131195,1.0,0.08483801782131195,no_cap,0.00814120019069148,0.0006906832568347454
35,2021-01-08 16:10:00,2021-01-08 17:10:00,LONG,40693.13,41444.99,12,0.44440311193466187,0.055596888065338135,0.6869523525238037,0.010886013507843018,0.05199927091598511,1.0,0.05199927091598511,no_cap,0.016644728447070524,0.000865513808093965
36,2021-01-08 18:10:00,2021-01-08 19:10:00,LONG,40696.23,40437.75,12,0.4313623011112213,0.06863769888877869,0.6836950778961182,0.025754690170288086,0.0633649230003357,1.0,0.0633649230003357,no_cap,-0.008138407408996493,-0.0005156895495019853
37,2021-01-08 20:10:00,2021-01-08 21:10:00,LONG,39935.56,39540.08,12,0.42887574434280396,0.07112425565719604,0.6829954385757446,0.05795252323150635,0.06551294028759003,1.0,0.06551294028759003,no_cap,-0.011683525826806733,-0.0007654221262782812
38,2021-01-08 22:10:00,2021-01-08 23:10:00,LONG,39944.39,40627.98,12,0.4131438434123993,0.08685615658760071,0.6779824495315552,0.026738137006759644,0.07934989780187607,1.0,0.07934989780187607,no_cap,0.015284383968443935,0.0012128142407163978
39,2021-01-09 02:40:00,2021-01-09 03:40:00,LONG,39723.5,40166.46,12,0.38032472133636475,0.11967527866363525,0.6642228364944458,0.0030231773853302,0.10833756625652313,0.8,0.08667005598545074,mid_entropy(0.6642)_small_pdiff(0.0030),0.00933264649779517,0.0008088609902188182
40,2021-01-09 05:00:00,2021-01-09 06:00:00,LONG,39897.45,39417.2,12,0.34818458557128906,0.15181541442871094,0.6463155746459961,0.0005682706832885742,0.13850392401218414,0.8,0.11080314218997955,mid_entropy(0.6463)_small_pdiff(0.0006),-0.013813844282143337,-0.0015306173590943217
41,2021-01-09 07:00:00,2021-01-09 08:00:00,LONG,38787.82,39389.52,12,0.421656996011734,0.07834300398826599,0.6808211803436279,0.02592793107032776,0.07263319194316864,1.0,0.07263319194316864,no_cap,0.013686322604470147,0.0009940812597051263
42,2021-01-09 19:40:00,2021-01-09 20:40:00,LONG,40677.39,40433.13,12,0.33864283561706543,0.16135716438293457,0.6401311755180359,0.01356738805770874,0.15001280605793,1.0,0.15001280605793,no_cap,-0.00779239256077882,-0.0011689587263390422
43,2021-01-09 23:45:00,2021-01-10 00:45:00,LONG,40216.0,40632.29,12,0.36573973298072815,0.13426026701927185,0.6566492915153503,1.749396324157715e-05,0.12237142771482468,0.8,0.09789714217185974,mid_entropy(0.6566)_small_pdiff(0.0000),0.00853435555801645,0.0008354890742339194
44,2021-01-10 05:10:00,2021-01-10 06:10:00,LONG,40442.23,40709.59,12,0.35068389773368835,0.14931610226631165,0.6478689908981323,0.008331120014190674,0.13685870170593262,1.0,0.13685870170593262,no_cap,0.004800641018919509,0.0006570094847120345
45,2021-01-10 10:45:00,2021-01-10 11:45:00,LONG,40462.36,39481.5,12,0.35229572653770447,0.14770427346229553,0.6488562226295471,0.00046640634536743164,0.13539771735668182,0.8,0.10831817239522934,mid_entropy(0.6489)_small_pdiff(0.0005),-0.025996081234072044,-0.002815847983583808
46,2021-01-10 12:45:00,2021-01-10 13:45:00,LONG,39459.72,39782.75,12,0.41211551427841187,0.08788448572158813,0.677619218826294,0.025845199823379517,0.08259641379117966,1.0,0.08259641379117966,no_cap,0.006373219072611528,0.0005264050560072064
47,2021-01-10 17:30:00,2021-01-10 18:30:00,LONG,38166.73,38264.09,12,0.43087923526763916,0.06912076473236084,0.6835611462593079,0.005209535360336304,0.06610891222953796,1.0,0.06610891222953796,no_cap,0.000747943826649774,4.9445752665633336e-05
48,2021-01-10 20:25:00,2021-01-10 21:25:00,LONG,35932.8,37578.39,12,0.4455935060977936,0.05440649390220642,0.6872153282165527,0.0024012327194213867,0.05308784544467926,0.8,0.04247027635574341,mid_entropy(0.6872)_small_pdiff(0.0024),0.04391557908795784,0.0018651067512109876
49,2021-01-11 01:50:00,2021-01-11 02:50:00,LONG,37264.34,36539.17,12,0.35291847586631775,0.14708152413368225,0.6492346525192261,0.006214618682861328,0.13485568761825562,1.0,0.13485568761825562,no_cap,-0.02122354416503292,-0.0028621158562600613
